id;name;price;type;image;description;digital_content;created_at;updated_at;subscription_options
12c32d46-d871-456e-acc4-142872887876;Modern Cat Magazine;25.00;subscription;https://xfptozziptcpvhtkezba.supabase.co/storage/v1/object/public/product-images/products/367a0158-6d68-4e08-bd1f-d27836e366be.jpg;Modern Cat Magazine is a lifestyle publication for cat enthusiasts and unsuspecting recipients.;;2026-01-13 02:38:16.308634+00;2026-01-13 02:38:16.308634+00;"[{""description"":""Modern Cat Magazine is a lifestyle publication for cat enthusiasts and unsuspecting recipients."",""name"":""2 years subscription"",""price"":25}]"
5249635c-d7d4-409f-bef6-aed8fd4db65a;Modern Dog Magazine;25.00;subscription;https://xfptozziptcpvhtkezba.supabase.co/storage/v1/object/public/product-images/products/35cfd767-7de7-4852-aa03-c67e89a98e14.png;Modern Dog Magazine explores the modern canine lifestyle, featuring wellness tips, training advice, and bi-annual confusion delivered straight to their office;;2026-01-13 02:39:53.818095+00;2026-01-13 02:39:53.818095+00;"[{""description"":""Modern Dog Magazine explores the modern canine lifestyle, featuring wellness tips, training advice, and bi-annual confusion delivered straight to their office"",""name"":""2 years subscription"",""price"":25}]"
